#{"t_start": 1656949382.9937577, "env_id": "CustomHopper-source-v0"}
r,l,t
20.328866,31,0.038489
5.88266,12,0.048478
14.509843,19,0.061762
19.495251,19,0.075312
12.084913,17,0.087689
26.149255,21,0.102443
1.178534,23,0.119069
5.186188,9,0.125628
11.169609,13,0.134883
10.158914,11,0.142504
7.263808,17,0.154262
33.242541,25,0.172367
5.019993,8,0.177845
7.579284,17,0.189837
8.383802,14,0.199392
5.543091,13,0.209381
2.170623,19,0.222667
45.737424,36,0.248342
34.570038,26,0.266612
6.592415,13,0.275581
5.167783,7,0.280463
13.91775,21,0.295796
-0.555493,27,0.314567
2.917499,10,0.321542
16.60619,22,0.337343
4.364703,8,0.342882
17.917294,21,0.357489
10.682243,15,0.368385
62.23058,40,0.396014
29.79307,24,0.413374
5.876271,10,0.420347
8.143811,11,0.427909
3.243748,7,0.4328
9.345669,14,0.442256
8.589055,25,0.460229
9.999449,14,0.469848
7.898504,17,0.481493
9.860953,13,0.490216
18.937552,19,0.504032
13.604299,18,0.516479
8.560518,12,0.52471
21.724012,21,0.539944
5.151499,9,0.546158
7.873284,13,0.555105
1.404228,26,0.573237
5.750523,10,0.580703
4.794782,28,0.600213
5.817847,9,0.606426
14.913285,22,0.622431
16.169291,33,0.645193
13.95549,14,0.654866
8.3856,16,0.666502
1.737242,18,0.678923
3.720473,19,0.692117
27.900442,26,0.710669
13.385519,22,0.725911
26.694144,26,0.744361
9.666286,11,0.752327
8.083533,14,0.761942
7.113145,9,0.768081
6.856135,17,0.779875
4.293164,14,0.789968
13.086895,28,0.809455
3.012361,28,0.829885
9.677811,15,0.840258
5.25066,8,0.845761
8.851058,33,0.869055
49.738853,34,0.892788
44.284808,42,0.922526
6.172439,18,0.935097
9.377362,11,0.94255
14.76355,16,0.954301
13.013588,14,0.963942
11.567268,12,0.972123
6.97056,11,0.979754
7.067539,9,0.986005
18.508797,40,1.014367
24.197033,30,1.035743
60.829511,43,1.066152
18.96246,19,1.07994
9.873816,21,1.094598
10.531013,17,1.106279
16.707367,28,1.126023
6.328913,17,1.137904
9.767934,15,1.148468
38.815001,28,1.16822
9.610682,14,1.177852
9.971758,19,1.191115
7.302068,12,1.199378
16.700972,22,1.215165
12.386839,28,1.234578
8.725301,12,1.242889
11.413554,25,1.260954
16.751946,21,1.275529
27.011509,29,1.296204
17.47441,30,1.316819
9.44978,21,1.331892
8.284631,10,1.338649
10.551772,18,1.351092
34.860913,40,1.379737
16.080124,17,1.39159
8.974901,17,1.403178
5.059729,9,1.409294
8.899819,12,1.418108
13.479475,16,1.429211
7.489611,11,1.436741
7.7236,11,1.444306
13.461576,14,1.454884
5.046785,9,1.652747
76.294854,44,1.684005
96.9866,55,1.722654
6.801598,10,1.729447
9.097654,13,1.738653
54.390695,36,1.763998
8.772419,12,1.772224
5.818711,13,1.781206
7.444219,11,1.789515
63.720128,36,1.815065
4.94825,8,1.820549
7.860723,10,1.827827
22.786161,23,1.844018
81.117645,58,1.886007
30.394568,27,1.905101
25.628055,45,1.936965
10.130472,23,1.954394
7.854344,10,1.961612
74.225007,46,1.994233
7.784763,18,2.007284
19.782246,19,2.02102
25.62465,32,2.04813
14.489889,15,2.058877
115.987972,56,2.098414
25.936828,25,2.11611
11.903157,12,2.125089
8.191551,18,2.138088
18.856329,23,2.154071
24.404716,25,2.172496
56.874943,33,2.195352
30.37512,29,2.216363
8.107285,20,2.230314
75.13051,40,2.258798
23.48093,27,2.277721
15.564481,19,2.292253
52.687173,30,2.313243
7.62639,11,2.321307
95.434669,51,2.357492
29.868659,29,2.378951
128.302987,70,2.427813
46.032393,32,2.450055
68.652461,37,2.476232
9.570431,15,2.486698
20.094233,20,2.501249
4.086989,10,2.508797
6.85527,12,2.517215
6.226111,23,2.533217
70.488171,41,2.562671
133.740021,63,2.606953
5.865999,10,2.614072
6.748055,10,2.621628
25.225674,22,2.637594
8.958256,13,2.646606
11.129073,13,2.65582
11.778916,13,2.665537
75.544881,39,2.692915
7.568197,10,2.699769
18.8616,32,2.722714
28.228821,29,2.742852
13.768246,17,2.755801
7.461646,12,2.764221
16.678413,17,2.776242
15.046026,15,2.787564
3.840441,9,2.794894
17.599805,27,2.813723
3.774342,8,2.819329
75.200499,41,2.84859
26.85926,24,2.865204
9.97981,12,2.874132
63.546232,48,2.907472
8.563179,13,2.917183
6.939729,13,2.926324
9.090137,19,2.939535
66.099607,36,2.965249
107.251676,61,3.008041
5.188343,13,3.01718
7.414465,10,3.024019
5.525741,25,3.041856
6.131405,9,3.048316
77.414041,41,3.076456
25.217409,43,3.107852
56.124307,30,3.331227
63.628694,42,3.361023
17.154191,20,3.375472
114.971227,78,3.431246
100.764868,61,3.475205
10.775002,19,3.488431
60.189796,34,3.512937
52.691042,29,3.533223
61.21125,32,3.556102
95.226192,66,3.602847
116.838261,70,3.652914
95.48869,69,3.701571
10.358681,13,3.711816
53.404407,29,3.732145
82.643328,43,3.762573
8.637789,14,3.772388
81.806135,49,3.80676
57.647361,32,3.829832
144.856804,72,3.881414
79.494035,52,3.921014
55.730725,31,3.942743
37.651947,27,3.96268
18.493901,23,3.978623
112.355177,55,4.017297
23.917401,18,4.029815
48.441831,37,4.056442
4.850398,13,4.065791
70.419281,37,4.092565
102.562955,64,4.137614
51.036502,27,4.156385
13.386178,13,4.16582
28.529105,22,4.181298
63.528399,34,4.205963
77.652451,44,4.236803
89.703075,44,4.268215
79.240605,54,4.306217
17.075216,17,4.31812
64.377481,35,4.343246
101.80796,51,4.378936
108.198264,73,4.430179
6.674076,11,4.437828
88.361266,45,4.470251
9.171345,12,4.47834
84.783863,97,4.546777
68.411578,37,4.572845
70.848085,37,4.599314
81.055201,50,4.634587
6.893248,9,4.640985
107.376367,80,4.69781
82.008658,42,4.727777
104.461346,60,4.770179
68.276241,36,4.99837
73.801779,37,5.024163
200.826883,148,5.12869
84.612338,44,5.158842
74.462088,39,5.189579
44.455877,25,5.209403
85.822538,45,5.244521
65.642012,35,5.270913
62.7592,36,5.298458
148.002554,95,5.369382
68.612851,33,5.394736
81.499861,51,5.432886
79.842183,42,5.464455
81.173479,46,5.497967
51.688793,27,5.518612
59.210328,34,5.544249
71.119234,40,5.573373
72.202963,38,5.602224
48.088141,47,5.635615
126.654404,62,5.679483
80.739994,54,5.718678
92.269527,45,5.750214
137.308592,66,5.79736
20.32651,17,5.809183
81.920657,43,5.840479
91.480784,47,5.875614
81.168552,45,5.908259
102.219621,58,5.950444
87.746025,61,5.994605
75.026968,38,6.022919
106.754895,51,6.059704
99.216646,50,6.09591
5.789342,37,6.125748
111.46293,65,6.174713
144.015082,76,6.229356
97.743882,52,6.267917
72.669306,40,6.303711
