#{"t_start": 1656948967.4034953, "env_id": "CustomHopper-source-v0"}
r,l,t
20.328866,31,0.039057
5.88266,12,0.04857
14.509843,19,0.061634
19.495251,19,0.074797
12.084913,17,0.086986
26.149255,21,0.101874
1.178534,23,0.117794
5.186188,9,0.124598
11.169609,13,0.133798
10.158914,11,0.141356
7.263808,17,0.152951
33.242541,25,0.170521
5.019993,8,0.176045
7.579284,17,0.187693
8.383802,14,0.197121
5.543091,13,0.206369
2.170623,19,0.220381
45.737424,36,0.245143
34.570038,26,0.264065
6.592415,13,0.27301
5.167783,7,0.277801
13.91775,21,0.292888
-0.555493,27,0.311962
2.917499,10,0.318925
16.60619,22,0.334763
4.364703,8,0.340523
17.917294,21,0.355024
10.682243,15,0.365429
62.23058,40,0.393559
29.79307,24,0.410038
5.876271,10,0.417545
8.143811,11,0.425429
3.243748,7,0.430174
9.345669,14,0.439562
8.589055,25,0.456715
9.999449,14,0.467194
7.898504,17,0.478885
9.860953,13,0.487726
18.937552,19,0.501223
13.604299,18,0.514016
8.560518,12,0.522208
21.724012,21,0.536734
5.151499,9,0.543418
7.873284,13,0.55247
1.404228,26,0.570337
5.750523,10,0.577092
4.794782,28,0.597392
5.817847,9,0.603562
14.913285,22,0.618833
16.169291,33,0.642358
13.95549,14,0.652055
8.3856,16,0.662928
1.737242,18,0.676253
3.720473,19,0.689454
27.900442,26,0.707338
13.385519,22,0.723325
26.694144,26,0.74145
9.666286,11,0.749027
8.083533,14,0.759496
7.113145,9,0.765661
6.856135,17,0.777276
4.293164,14,0.786802
13.086895,28,0.807015
3.012361,28,0.826533
9.677811,15,0.837824
5.25066,8,0.843114
8.851058,33,0.866004
49.738853,34,0.889985
44.284808,42,0.919258
6.172439,18,0.93205
9.377362,11,0.939472
14.76355,16,0.950464
13.013588,14,0.960458
11.567268,12,0.968833
6.97056,11,0.976666
7.067539,9,0.982663
18.508797,40,1.011572
24.197033,30,1.032464
60.829511,43,1.062898
18.96246,19,1.075892
9.873816,21,1.091314
10.531013,17,1.103024
16.707367,28,1.122416
6.328913,17,1.135016
9.767934,15,1.145343
38.815001,28,1.164564
9.610682,14,1.174861
9.971758,19,1.188123
7.302068,12,1.196376
16.700972,22,1.212019
12.386839,28,1.231583
8.725301,12,1.239636
11.413554,25,1.257567
16.751946,21,1.272134
27.011509,29,1.292867
17.47441,30,1.313908
9.44978,21,1.328378
8.284631,10,1.335803
10.551772,18,1.34851
34.860913,40,1.376918
16.080124,17,1.389066
8.974901,17,1.400798
5.059729,9,1.406978
8.899819,12,1.415058
13.479475,16,1.426902
7.489611,11,1.434465
7.7236,11,1.441941
13.461576,14,1.451468
5.046785,9,1.657722
76.294854,44,1.688936
96.9866,55,1.727979
6.801598,10,1.734838
9.097654,13,1.743767
54.390695,36,1.769935
8.772419,12,1.778244
5.818711,13,1.788442
7.444219,11,1.799367
63.720128,36,1.826441
4.94825,8,1.832096
7.860723,10,1.839794
22.786161,23,1.855626
81.117645,58,1.896551
30.394568,27,1.915447
25.628055,45,1.947619
10.130472,23,1.964876
7.854344,10,1.971919
74.225007,46,2.004971
7.784763,18,2.017481
19.782246,19,2.031534
25.62465,32,2.056019
14.489889,15,2.066894
115.987972,56,2.106563
25.936828,25,2.124434
11.903157,12,2.13362
8.191551,18,2.146262
18.856329,23,2.162681
24.404716,25,2.181417
56.874943,33,2.204196
30.37512,29,2.225315
8.107285,20,2.239405
75.13051,40,2.267676
23.48093,27,2.28688
15.564481,19,2.301085
52.687173,30,2.32198
7.62639,11,2.329832
95.434669,51,2.366439
29.868659,29,2.387722
128.302987,70,2.436695
46.032393,32,2.45919
68.652461,37,2.486099
9.570431,15,2.49653
20.094233,20,2.511635
4.086989,10,2.518835
6.85527,12,2.527239
6.226111,23,2.543734
70.488171,41,2.573209
133.740021,63,2.617518
5.865999,10,2.624642
6.748055,10,2.632514
25.225674,22,2.648122
8.958256,13,2.657462
11.129073,13,2.666325
11.778916,13,2.676271
75.544881,39,2.703601
7.568197,10,2.711144
18.8616,32,2.734305
28.228821,29,2.755456
13.768246,17,2.767466
7.461646,12,2.776377
16.678413,17,2.790524
15.046026,15,2.801619
3.840441,9,2.807822
17.599805,27,2.826788
3.774342,8,2.832341
75.200499,41,2.861491
26.85926,24,2.878416
9.97981,12,2.887257
63.546232,48,2.921357
8.563179,13,2.930279
6.939729,13,2.9392
9.090137,19,2.952417
66.099607,36,2.977956
107.251676,61,3.020593
5.188343,13,3.029621
7.414465,10,3.039277
5.525741,25,3.063576
6.131405,9,3.07023
77.414041,41,3.099221
25.217409,43,3.130355
55.907555,30,3.363556
63.672499,42,3.394889
17.309424,20,3.408785
116.629378,78,3.463931
100.12484,61,3.506941
10.853849,19,3.520242
60.100171,34,3.543656
52.468879,29,3.564207
59.093455,31,3.585453
9.554186,20,3.600091
78.28923,48,3.633892
110.404454,68,3.681603
97.602254,66,3.728528
11.574553,14,3.738158
56.305129,31,3.760263
79.209594,41,3.788325
73.656208,38,3.815487
8.017073,20,3.829213
68.644479,36,3.854851
148.238864,72,3.905258
51.773015,51,3.941211
11.23061,12,3.949523
104.927621,58,3.989999
101.907495,50,4.02526
47.747318,38,4.05224
44.60754,36,4.077452
6.485165,14,4.087542
70.878267,38,4.114018
100.197205,63,4.158493
50.155635,27,4.177511
14.198257,13,4.186546
12.663453,14,4.196026
8.872808,10,4.203086
59.813189,33,4.227193
72.802185,42,4.256927
80.936027,41,4.285403
87.752645,53,4.322269
20.404399,22,4.338233
62.025098,34,4.362101
84.346233,43,4.392494
62.859524,36,4.417437
34.858286,35,4.442158
13.197669,17,4.453781
97.9698,48,4.489327
16.475572,17,4.501404
78.625535,58,4.542221
6.689612,11,4.550484
81.39997,54,4.589136
74.688366,39,4.616656
62.769028,35,4.641271
113.381359,85,4.701055
10.035461,13,4.710288
54.598911,31,4.732722
62.455965,36,4.757991
29.357634,24,4.775045
16.914674,16,4.785959
13.305134,13,4.993548
64.058299,35,5.019012
62.445054,33,5.041442
207.908906,144,5.143733
85.765352,51,5.179862
71.986413,40,5.207601
41.795881,23,5.224535
81.872325,44,5.255739
66.440092,36,5.280562
111.779691,74,5.332672
58.619501,32,5.35551
88.626335,57,5.395483
92.879868,63,5.439521
69.998015,38,5.466115
80.567071,48,5.499691
73.787413,44,5.530926
57.9784,31,5.553298
64.80166,42,5.582069
51.257336,56,5.621573
102.66222,54,5.659825
89.907842,61,5.703104
105.860589,50,5.738388
137.288659,66,5.784457
9.327398,10,5.791356
84.870501,45,5.823069
96.984851,49,5.857625
80.79018,49,5.892235
137.534202,80,5.94815
78.589983,48,5.982157
64.878264,33,6.005472
97.432665,49,6.039676
87.221949,45,6.071357
4.1084,35,6.096483
113.993762,69,6.145011
146.191928,77,6.198162
99.488894,52,6.235115
77.044081,50,6.270361
81.195592,47,6.3038
81.940105,54,6.34159
136.688124,66,6.38796
54.905701,31,6.409439
19.800645,16,6.420294
107.889239,66,6.665917
72.608926,43,6.696652
68.229475,37,6.723495
80.6145,43,6.753247
89.413388,56,6.793101
296.59923,124,6.880253
68.518652,37,6.906956
31.860839,31,6.929401
81.734039,44,6.959762
101.945773,59,7.001123
96.618107,53,7.038438
95.790097,47,7.071002
65.814327,35,7.096277
55.658482,32,7.118465
129.135307,65,7.164073
27.68661,26,7.182905
101.580922,53,7.220625
134.632607,67,7.267606
100.464057,60,7.31019
248.126891,141,7.409668
84.988111,44,7.440618
91.138885,49,7.475077
68.070373,38,7.501448
131.405521,66,7.54765
66.676523,44,7.578751
55.999043,29,7.599511
63.427374,35,7.623601
78.948364,45,7.655491
102.250064,54,7.693323
92.909293,62,7.737095
70.518894,37,7.763745
97.744438,58,7.804656
58.961632,31,7.826039
159.799935,87,7.887519
100.862824,52,7.92333
92.511213,48,7.957367
70.983748,48,7.991223
153.964996,72,8.041251
177.915442,89,8.369107
276.246796,146,8.471737
