#{"t_start": 1656951029.0753894, "env_id": "CustomHopper-source-v0"}
r,l,t
20.328866,31,0.039361
5.88266,12,0.047963
14.509843,19,0.061425
19.495251,19,0.074605
12.084913,17,0.087155
26.149255,21,0.101893
1.178534,23,0.11832
5.186188,9,0.125089
11.169609,13,0.134469
10.158914,11,0.142105
7.263808,17,0.153802
33.242541,25,0.171996
5.019993,8,0.177536
7.579284,17,0.189238
8.383802,14,0.199097
5.543091,13,0.209009
2.170623,19,0.222524
45.737424,36,0.248488
34.570038,26,0.266787
6.592415,13,0.275817
5.167783,7,0.280641
13.91775,21,0.295931
-0.555493,27,0.314957
2.917499,10,0.322075
16.60619,22,0.33802
4.364703,8,0.343564
17.917294,21,0.358176
10.682243,15,0.368802
62.23058,40,0.396958
29.79307,24,0.41445
5.876271,10,0.421498
8.143811,11,0.429138
3.243748,7,0.434053
9.345669,14,0.443718
8.589055,25,0.461894
9.999449,14,0.471509
7.898504,17,0.483392
9.860953,13,0.492266
18.937552,19,0.506213
13.604299,18,0.518812
8.560518,12,0.526989
21.724012,21,0.542407
5.151499,9,0.548705
7.873284,13,0.558081
1.404228,26,0.576017
5.750523,10,0.58358
4.794782,28,0.603235
5.817847,9,0.609993
14.913285,22,0.626197
16.169291,33,0.649186
13.95549,14,0.658772
8.3856,16,0.670907
1.737242,18,0.683679
3.720473,19,0.697036
27.900442,26,0.715736
13.385519,22,0.731037
26.694144,26,0.750083
9.666286,11,0.757952
8.083533,14,0.767789
7.113145,9,0.774069
6.856135,17,0.787467
4.293164,14,0.797232
13.086895,28,0.816673
3.012361,28,0.837122
9.677811,15,0.847553
5.25066,8,0.853059
8.851058,33,0.876709
49.738853,34,0.900345
44.284808,42,0.930489
6.172439,18,0.943666
9.377362,11,0.95115
14.76355,16,0.963245
13.013588,14,0.972775
11.567268,12,0.980989
6.97056,11,0.988793
7.067539,9,0.995847
18.508797,40,1.023719
24.197033,30,1.045542
60.829511,43,1.075696
18.96246,19,1.089807
