#{"t_start": 1656951537.112695, "env_id": "CustomHopper-source-v0"}
r,l,t
20.328866,31,0.038954
5.88266,12,0.047983
14.509843,19,0.061502
19.495251,19,0.074689
12.084913,17,0.086325
26.149255,21,0.1018
1.178534,23,0.117687
5.186188,9,0.124059
11.169609,13,0.133531
10.158914,11,0.141365
7.263808,17,0.153052
33.242541,25,0.170109
5.019993,8,0.176093
7.579284,17,0.188215
8.383802,14,0.197644
5.543091,13,0.206855
2.170623,19,0.220777
45.737424,36,0.245523
34.570038,26,0.264438
6.592415,13,0.273459
5.167783,7,0.278349
13.91775,21,0.292897
-0.555493,27,0.31216
2.917499,10,0.319055
16.60619,22,0.334328
4.364703,8,0.3402
17.917294,21,0.355152
10.682243,15,0.365459
62.23058,40,0.393697
29.79307,24,0.410234
5.876271,10,0.417317
8.143811,11,0.425306
3.243748,7,0.43052
9.345669,14,0.440046
8.589055,25,0.457308
9.999449,14,0.467288
7.898504,17,0.47928
9.860953,13,0.488022
18.937552,19,0.501173
13.604299,18,0.514259
8.560518,12,0.522431
21.724012,21,0.536839
5.151499,9,0.542941
7.873284,13,0.55223
1.404228,26,0.570295
5.750523,10,0.577131
4.794782,28,0.597567
5.817847,9,0.603714
14.913285,22,0.618995
16.169291,33,0.642606
13.95549,14,0.652179
8.3856,16,0.663016
1.737242,18,0.67601
3.720473,19,0.689539
27.900442,26,0.707283
13.385519,22,0.723312
26.694144,26,0.74159
9.666286,11,0.749322
8.083533,14,0.759508
7.113145,9,0.76601
6.856135,17,0.777833
4.293164,14,0.787324
13.086895,28,0.807447
3.012361,28,0.82709
9.677811,15,0.837668
5.25066,8,0.843568
8.851058,33,0.866753
49.738853,34,0.891222
44.284808,42,0.921021
6.172439,18,0.934225
9.377362,11,0.941792
14.76355,16,0.952666
13.013588,14,0.962461
11.567268,12,0.97143
6.97056,11,0.979009
7.067539,9,0.98519
18.508797,40,1.013554
24.197033,30,1.03435
60.829511,43,1.064811
18.96246,19,1.077753
9.873816,21,1.092788
10.531013,17,1.104849
16.707367,28,1.12416
6.328913,17,1.13676
9.767934,15,1.147075
38.815001,28,1.166162
9.610682,14,1.176149
9.971758,19,1.18957
7.302068,12,1.197719
16.700972,22,1.212903
12.386839,28,1.232785
8.725301,12,1.24107
11.413554,25,1.258784
16.751946,21,1.273823
27.011509,29,1.29393
17.47441,30,1.315403
9.44978,21,1.32979
8.284631,10,1.336528
10.551772,18,1.349537
34.860913,40,1.377061
16.080124,17,1.389693
8.974901,17,1.401317
5.059729,9,1.40735
8.899819,12,1.415373
13.479475,16,1.426892
7.489611,11,1.434859
7.7236,11,1.44236
13.461576,14,1.451679
5.046785,9,1.650782
76.294854,44,1.682314
96.9866,55,1.721534
6.801598,10,1.728506
9.097654,13,1.73747
54.390695,36,1.763875
8.772419,12,1.772411
5.818711,13,1.784931
7.444219,11,1.795168
63.720128,36,1.823113
4.94825,8,1.828609
7.860723,10,1.835562
22.786161,23,1.853535
81.117645,58,1.896734
30.394568,27,1.918548
25.628055,45,1.954061
10.130472,23,1.971739
7.854344,10,1.979054
74.225007,46,2.01283
7.784763,18,2.029573
19.782246,19,2.046544
25.62465,32,2.076726
14.489889,15,2.089519
115.987972,56,2.139848
25.936828,25,2.161889
11.903157,12,2.173565
8.191551,18,2.189699
18.856329,23,2.206506
24.404716,25,2.224669
56.874943,33,2.24764
30.37512,29,2.268255
8.107285,20,2.282372
75.13051,40,2.310302
23.48093,27,2.329195
15.564481,19,2.342918
52.687173,30,2.364069
7.62639,11,2.371857
95.434669,51,2.408022
29.868659,29,2.429466
128.302987,70,2.478012
46.032393,32,2.500656
68.652461,37,2.52699
9.570431,15,2.537701
20.094233,20,2.552215
4.086989,10,2.559687
6.85527,12,2.568133
6.226111,23,2.584182
70.488171,41,2.613526
133.740021,63,2.659198
5.865999,10,2.666436
6.748055,10,2.673748
25.225674,22,2.692307
8.958256,13,2.703181
11.129073,13,2.712706
11.778916,13,2.724933
75.544881,39,2.759162
7.568197,10,2.766526
18.8616,32,2.789735
28.228821,29,2.810738
13.768246,17,2.822397
7.461646,12,2.830741
16.678413,17,2.842866
15.046026,15,2.853564
3.840441,9,2.859789
17.599805,27,2.878418
3.774342,8,2.884549
75.200499,41,2.913287
26.85926,24,2.930485
9.97981,12,2.938665
63.546232,48,2.972524
8.563179,13,2.981358
6.939729,13,2.990446
9.090137,19,3.003435
66.099607,36,3.02914
107.251676,61,3.071776
5.188343,13,3.08096
7.414465,10,3.087874
5.525741,25,3.105706
6.131405,9,3.112051
77.414041,41,3.141032
25.217409,43,3.171661
56.124307,30,3.396156
63.628694,42,3.426346
17.154191,20,3.440827
114.971227,78,3.495743
100.764868,61,3.539517
10.775002,19,3.553499
60.189796,34,3.57706
52.691042,29,3.598052
61.21125,32,3.620124
95.226192,66,3.666927
116.838261,70,3.716861
95.48869,69,3.765638
10.358681,13,3.774677
53.404407,29,3.794813
82.643328,43,3.82554
8.637789,14,3.835345
81.806135,49,3.869429
57.647361,32,3.892464
144.856804,72,3.943296
79.494035,52,3.980089
55.730725,31,4.001902
37.651947,27,4.021529
