#{"t_start": 1656948551.1797686, "env_id": "CustomHopper-source-v0"}
r,l,t
20.328866,31,0.039462
5.88266,12,0.048032
14.509843,19,0.062085
19.495251,19,0.075707
12.084913,17,0.087675
26.149255,21,0.10307
1.178534,23,0.120038
5.186188,9,0.126283
11.169609,13,0.135222
10.158914,11,0.143461
7.263808,17,0.155923
33.242541,25,0.173196
5.019993,8,0.178767
7.579284,17,0.191802
8.383802,14,0.201447
5.543091,13,0.21083
2.170623,19,0.224912
45.737424,36,0.250526
34.570038,26,0.269989
6.592415,13,0.279759
5.167783,7,0.28445
13.91775,21,0.299021
-0.555493,27,0.318925
2.917499,10,0.32606
16.60619,22,0.341881
4.364703,8,0.347317
17.917294,21,0.363146
10.682243,15,0.373419
62.23058,40,0.40231
29.79307,24,0.419346
5.876271,10,0.426501
8.143811,11,0.434756
3.243748,7,0.439968
9.345669,14,0.449743
8.589055,25,0.467509
9.999449,14,0.477684
7.898504,17,0.490096
9.860953,13,0.498952
18.937552,19,0.512328
13.604299,18,0.52584
8.560518,12,0.534312
21.724012,21,0.548865
5.151499,9,0.555166
7.873284,13,0.565282
1.404228,26,0.583205
5.750523,10,0.589996
4.794782,28,0.61062
5.817847,9,0.616904
14.913285,22,0.632249
16.169291,33,0.656377
13.95549,14,0.666271
8.3856,16,0.67763
1.737242,18,0.691691
3.720473,19,0.70542
27.900442,26,0.723975
13.385519,22,0.741796
26.694144,26,0.760482
9.666286,11,0.769177
8.083533,14,0.779725
7.113145,9,0.786616
6.856135,17,0.798518
4.293164,14,0.809099
13.086895,28,0.829311
3.012361,28,0.849854
9.677811,15,0.860711
5.25066,8,0.866287
8.851058,33,0.889382
49.738853,34,0.914275
44.284808,42,0.945561
6.172439,18,0.958143
9.377362,11,0.965941
14.76355,16,0.97778
13.013588,14,0.988437
11.567268,12,0.996914
6.97056,11,1.0048
7.067539,9,1.011306
18.508797,40,1.040766
24.197033,30,1.0625
60.829511,43,1.094333
18.96246,19,1.108836
9.873816,21,1.123868
10.531013,17,1.135992
16.707367,28,1.15683
6.328913,17,1.16889
9.767934,15,1.179497
38.815001,28,1.200167
9.610682,14,1.210212
9.971758,19,1.223576
7.302068,12,1.233178
16.700972,22,1.248703
12.386839,28,1.269996
8.725301,12,1.279108
11.413554,25,1.296399
16.751946,21,1.312115
27.011509,29,1.332838
17.47441,30,1.354638
9.44978,21,1.369624
8.284631,10,1.376559
10.551772,18,1.388915
34.860913,40,1.41823
16.080124,17,1.43031
8.974901,17,1.44329
5.059729,9,1.449566
8.899819,12,1.457835
13.479475,16,1.469231
7.489611,11,1.47754
7.7236,11,1.485592
13.461576,14,1.495507
5.046785,9,1.701185
76.294854,44,1.733283
96.9866,55,1.772912
6.801598,10,1.779775
9.097654,13,1.788696
54.390695,36,1.814781
8.772419,12,1.822909
5.818711,13,1.831913
7.444219,11,1.839483
63.720128,36,1.865322
4.94825,8,1.870885
7.860723,10,1.877657
22.786161,23,1.894354
81.117645,58,1.93557
30.394568,27,1.954707
25.628055,45,1.986835
10.130472,23,2.002903
7.854344,10,2.009797
74.225007,46,2.042314
7.784763,18,2.054829
19.782246,19,2.06947
25.62465,32,2.092144
14.489889,15,2.103319
115.987972,56,2.142872
25.936828,25,2.160827
11.903157,12,2.16918
8.191551,18,2.181673
18.856329,23,2.19871
24.404716,25,2.215986
