#{"t_start": 1656948551.179882, "env_id": "CustomHopper-target-v0"}
r,l,t
104.030956,58,8.303638
299.268907,139,16.55001
322.007716,151,24.814818
374.265312,173,33.069892
1053.564571,500,41.381696
1123.967611,366,49.731932
1255.615112,500,58.135604
588.552096,222,66.414946
1214.713202,500,74.814981
1442.811065,441,83.147269
1367.68784,409,91.488166
889.500988,419,99.798361
547.599738,192,108.036541
814.821319,247,116.26718
1501.671066,500,124.63104
1481.544358,500,132.968562
1154.324688,339,141.269014
891.567031,288,149.5427
1143.799523,500,157.896608
1156.899717,500,166.248647
1535.167996,500,174.576141
914.242388,301,182.838465
1056.859117,328,191.113626
696.785143,233,199.334659
797.476503,246,207.591577
878.039293,267,215.853119
1449.157292,435,224.186484
1175.623501,367,232.482251
1180.215797,387,240.775404
1004.4534,298,249.079111
882.645174,269,257.35637
960.012021,294,265.62678
1473.842528,500,274.026461
1156.88575,413,282.396312
1518.759853,500,290.827263
1471.60254,500,299.218496
1425.413075,478,307.568345
1366.890383,415,315.878371
1483.152051,500,324.215252
1475.628335,500,332.595412
1587.16945,500,340.959205
1600.173644,500,349.29118
1625.087661,500,357.638812
1599.469887,500,365.994644
1158.867137,344,374.341329
1584.668069,500,382.72685
1531.407696,500,391.076494
1580.751877,500,399.489724
1605.79088,500,407.83538
1589.215824,500,416.179276
