#{"t_start": 1656952366.8526673, "env_id": "CustomHopper-source-v0"}
r,l,t
20.328866,31,0.03942
5.88266,12,0.04769
14.509843,19,0.060881
19.495251,19,0.075039
12.084913,17,0.086656
26.149255,21,0.101179
1.178534,23,0.117818
5.186188,9,0.123984
11.169609,13,0.132887
10.158914,11,0.140348
7.263808,17,0.153177
33.242541,25,0.170122
5.019993,8,0.175566
7.579284,17,0.18793
8.383802,14,0.19764
5.543091,13,0.206739
2.170623,19,0.219911
45.737424,36,0.245487
34.570038,26,0.263578
6.592415,13,0.272988
5.167783,7,0.278087
13.91775,21,0.29257
-0.555493,27,0.311513
2.917499,10,0.319012
16.60619,22,0.334174
4.364703,8,0.339638
17.917294,21,0.354974
10.682243,15,0.36559
62.23058,40,0.39313
29.79307,24,0.410547
5.876271,10,0.417413
8.143811,11,0.424951
3.243748,7,0.429832
9.345669,14,0.439639
8.589055,25,0.45716
9.999449,14,0.466713
7.898504,17,0.479131
9.860953,13,0.488271
18.937552,19,0.501374
13.604299,18,0.51367
8.560518,12,0.522328
21.724012,21,0.536975
5.151499,9,0.543048
7.873284,13,0.551923
1.404228,26,0.570908
5.750523,10,0.577719
4.794782,28,0.596959
5.817847,9,0.603132
14.913285,22,0.618937
16.169291,33,0.641657
13.95549,14,0.652407
8.3856,16,0.663331
1.737242,18,0.675799
3.720473,19,0.689332
27.900442,26,0.707421
13.385519,22,0.722461
26.694144,26,0.741477
9.666286,11,0.74906
8.083533,14,0.758689
7.113145,9,0.764812
6.856135,17,0.777527
4.293164,14,0.787025
13.086895,28,0.806335
3.012361,28,0.826788
9.677811,15,0.837005
5.25066,8,0.842481
8.851058,33,0.866255
49.738853,34,0.889482
44.284808,42,0.919303
6.172439,18,0.931631
9.377362,11,0.939607
14.76355,16,0.950924
13.013588,14,0.960427
11.567268,12,0.968554
6.97056,11,0.976157
7.067539,9,0.982905
18.508797,40,1.010717
24.197033,30,1.032491
60.829511,43,1.062423
18.96246,19,1.076127
9.873816,21,1.090683
10.531013,17,1.102374
16.707367,28,1.122509
6.328913,17,1.134103
9.767934,15,1.144606
38.815001,28,1.164674
9.610682,14,1.174171
9.971758,19,1.187439
7.302068,12,1.196376
16.700972,22,1.211469
12.386839,28,1.231284
8.725301,12,1.239694
11.413554,25,1.257161
16.751946,21,1.271967
27.011509,29,1.292392
17.47441,30,1.313576
9.44978,21,1.328232
8.284631,10,1.334937
10.551772,18,1.347378
34.860913,40,1.376106
16.080124,17,1.387774
8.974901,17,1.399749
5.059729,9,1.4059
8.899819,12,1.414176
13.479475,16,1.425105
7.489611,11,1.432559
7.7236,11,1.440629
13.461576,14,1.45048
5.046785,9,1.662669
76.294854,44,1.693802
96.9866,55,1.732212
6.801598,10,1.739238
9.097654,13,1.748179
54.390695,36,1.773551
8.772419,12,1.782214
5.818711,13,1.791138
7.444219,11,1.798736
63.720128,36,1.825876
4.94825,8,1.831898
7.860723,10,1.838724
22.786161,23,1.854718
81.117645,58,1.897694
30.394568,27,1.917542
25.628055,45,1.955219
10.130472,23,1.972653
7.854344,10,1.979871
74.225007,46,2.012712
7.784763,18,2.026278
19.782246,19,2.039749
