#{"t_start": 1656950204.814334, "env_id": "CustomHopper-source-v0"}
r,l,t
20.328866,31,0.039571
5.88266,12,0.048061
14.509843,19,0.06243
19.495251,19,0.075585
12.084913,17,0.087472
26.149255,21,0.102747
1.178534,23,0.118633
5.186188,9,0.124753
11.169609,13,0.133673
10.158914,11,0.141766
7.263808,17,0.153815
33.242541,25,0.171144
5.019993,8,0.176458
7.579284,17,0.189023
8.383802,14,0.198646
5.543091,13,0.207557
2.170623,19,0.221187
45.737424,36,0.246286
34.570038,26,0.264795
6.592415,13,0.274082
5.167783,7,0.278848
13.91775,21,0.293354
-0.555493,27,0.312703
2.917499,10,0.319719
16.60619,22,0.334902
4.364703,8,0.340404
17.917294,21,0.355727
10.682243,15,0.366206
62.23058,40,0.394657
29.79307,24,0.411139
5.876271,10,0.41807
8.143811,11,0.425668
3.243748,7,0.431066
9.345669,14,0.440809
8.589055,25,0.457943
9.999449,14,0.467505
7.898504,17,0.479972
9.860953,13,0.488803
18.937552,19,0.501888
13.604299,18,0.514646
8.560518,12,0.52316
21.724012,21,0.537671
5.151499,9,0.543798
7.873284,13,0.552965
1.404228,26,0.571679
5.750523,10,0.578489
4.794782,28,0.598587
5.817847,9,0.605126
14.913285,22,0.620323
16.169291,33,0.643994
13.95549,14,0.653533
8.3856,16,0.664546
1.737242,18,0.676857
3.720473,19,0.690731
27.900442,26,0.708624
13.385519,22,0.724298
26.694144,26,0.742735
9.666286,11,0.750261
8.083533,14,0.759812
7.113145,9,0.766591
6.856135,17,0.778746
4.293164,14,0.788442
13.086895,28,0.808278
3.012361,28,0.828066
9.677811,15,0.83849
5.25066,8,0.844043
8.851058,33,0.867683
49.738853,34,0.891569
44.284808,42,0.921136
6.172439,18,0.934568
9.377362,11,0.942039
14.76355,16,0.952953
13.013588,14,0.962724
11.567268,12,0.970791
6.97056,11,0.979077
7.067539,9,0.985218
18.508797,40,1.013519
24.197033,30,1.034604
60.829511,43,1.065304
18.96246,19,1.078473
9.873816,21,1.093148
10.531013,17,1.105666
16.707367,28,1.125109
6.328913,17,1.137001
9.767934,15,1.148215
38.815001,28,1.167454
9.610682,14,1.177321
9.971758,19,1.191226
7.302068,12,1.199506
16.700972,22,1.214511
12.386839,28,1.234906
8.725301,12,1.243056
11.413554,25,1.260239
16.751946,21,1.275691
27.011509,29,1.295805
17.47441,30,1.31759
9.44978,21,1.332102
8.284631,10,1.338777
10.551772,18,1.352104
34.860913,40,1.379818
16.080124,17,1.392048
8.974901,17,1.40401
5.059729,9,1.410128
8.899819,12,1.418304
13.479475,16,1.429467
7.489611,11,1.437809
7.7236,11,1.44528
13.461576,14,1.455082
5.046785,9,1.660003
76.294854,44,1.691657
96.9866,55,1.730396
6.801598,10,1.737159
9.097654,13,1.74599
54.390695,36,1.771713
8.772419,12,1.779887
5.818711,13,1.789122
7.444219,11,1.796814
63.720128,36,1.822865
4.94825,8,1.828375
7.860723,10,1.835243
22.786161,23,1.851955
81.117645,58,1.89507
30.394568,27,1.918509
25.628055,45,1.951772
10.130472,23,1.967934
7.854344,10,1.97543
74.225007,46,2.007537
7.784763,18,2.021558
19.782246,19,2.03502
25.62465,32,2.059738
14.489889,15,2.070535
115.987972,56,2.111782
25.936828,25,2.129642
11.903157,12,2.13916
8.191551,18,2.152493
18.856329,23,2.168639
24.404716,25,2.187056
56.874943,33,2.209818
30.37512,29,2.230685
8.107285,20,2.244637
75.13051,40,2.272799
23.48093,27,2.29164
15.564481,19,2.304804
52.687173,30,2.326268
7.62639,11,2.333829
95.434669,51,2.369724
29.868659,29,2.390487
128.302987,70,2.43971
46.032393,32,2.462225
68.652461,37,2.488329
9.570431,15,2.498994
20.094233,20,2.512925
4.086989,10,2.520992
