#{"t_start": 1656948037.7760494, "env_id": "CustomHopper-source-v0"}
r,l,t
20.328866,31,1.380617
5.88266,12,1.389743
14.509843,19,1.403764
19.495251,19,1.417868
12.084913,17,1.430673
26.149255,21,1.446252
1.178534,23,1.463321
5.186188,9,1.469989
11.169609,13,1.480059
10.158914,11,1.48812
7.263808,17,1.500414
33.242541,25,1.517455
5.019993,8,1.522972
7.579284,17,1.534886
8.383802,14,1.54435
5.543091,13,1.553271
2.170623,19,1.566195
45.737424,36,1.591385
34.570038,26,1.609733
6.592415,13,1.618704
5.167783,7,1.623551
13.91775,21,1.638226
-0.555493,27,1.658466
2.917499,10,1.666278
16.60619,22,1.683109
4.364703,8,1.689332
17.917294,21,1.705818
10.682243,15,1.716942
62.23058,40,1.747042
29.79307,24,1.765384
5.876271,10,1.773167
8.143811,11,1.781392
3.243748,7,1.786828
9.345669,14,1.797711
8.589055,25,1.816144
9.999449,14,1.826715
7.898504,17,1.839389
9.860953,13,1.848538
18.937552,19,1.861789
13.604299,18,1.876665
8.560518,12,1.887815
21.724012,21,1.903373
5.151499,9,1.909993
7.873284,13,1.919431
1.404228,26,1.938957
5.750523,10,1.946292
4.794782,28,1.967134
5.817847,9,1.973762
14.913285,22,1.989745
16.169291,33,2.014102
13.95549,14,2.02413
8.3856,16,2.036212
1.737242,18,2.049624
3.720473,19,2.063877
27.900442,26,2.082896
13.385519,22,2.098963
26.694144,26,2.118498
9.666286,11,2.126453
8.083533,14,2.136797
7.113145,9,2.142871
6.856135,17,2.155508
4.293164,14,2.166001
13.086895,28,2.186439
3.012361,28,2.208797
9.677811,15,2.219971
5.25066,8,2.225455
8.851058,33,2.249272
49.738853,34,2.2737
44.284808,42,2.304564
6.172439,18,2.317363
9.377362,11,2.325216
14.76355,16,2.33696
13.013588,14,2.347157
11.567268,12,2.355703
6.97056,11,2.363909
7.067539,9,2.370204
18.508797,40,2.400694
24.197033,30,2.422883
60.829511,43,2.454586
18.96246,19,2.46839
9.873816,21,2.484008
10.531013,17,2.49655
16.707367,28,2.516621
6.328913,17,2.529127
9.767934,15,2.540582
38.815001,28,2.561037
9.610682,14,2.571255
9.971758,19,2.585625
7.302068,12,2.594141
16.700972,22,2.609527
12.386839,28,2.629577
8.725301,12,2.637879
11.413554,25,2.655833
16.751946,21,2.671264
27.011509,29,2.691222
17.47441,30,2.711813
