#{"t_start": 1656948967.4036283, "env_id": "CustomHopper-target-v0"}
r,l,t
116.731243,63,8.302334
353.926992,170,16.534816
339.641944,158,24.792525
555.030043,225,33.058978
526.019851,226,41.284309
496.836672,223,49.575403
1410.394202,500,57.977195
251.31797,138,66.229301
851.59731,420,74.585072
1231.469038,500,82.981075
1088.581083,332,91.307867
281.198742,135,99.54875
311.594413,139,107.768705
1041.236301,338,116.100293
565.573173,227,124.349227
1208.639275,379,132.68229
1396.59352,425,141.010312
840.067588,257,149.297573
797.194365,246,157.568637
759.606261,252,165.841877
795.552,252,174.132959
769.648933,251,182.458747
1133.421331,348,190.781227
865.393662,274,199.02882
1156.295654,342,207.325716
1181.075544,367,215.640079
1503.905923,449,224.002549
1434.606632,448,232.389701
1144.323455,363,240.720941
1188.078496,364,249.050834
764.776306,238,257.340732
622.319918,225,265.654815
932.334088,286,273.991984
913.856927,281,282.340832
911.094106,280,290.686076
1082.975916,327,299.096197
351.799698,140,307.373735
867.510602,268,315.721448
839.403134,258,323.992088
1074.305062,326,332.38243
969.550817,294,340.696029
910.189617,278,348.959463
960.967105,295,357.230619
1089.045913,323,365.52704
840.017266,259,373.842707
1173.128982,372,382.210461
841.87274,277,390.548302
827.915074,270,398.847645
790.688866,257,407.133937
1644.628576,492,415.538143
