#{"t_start": 1656953187.6509643, "env_id": "CustomHopper-source-v0"}
r,l,t
20.328866,31,0.040157
5.88266,12,0.050613
14.509843,19,0.063966
19.495251,19,0.076855
12.084913,17,0.090302
26.149255,21,0.104964
1.178534,23,0.120859
5.186188,9,0.128542
11.169609,13,0.137854
10.158914,11,0.145521
7.263808,17,0.157406
33.242541,25,0.176533
5.019993,8,0.182204
7.579284,17,0.193909
8.383802,14,0.203538
5.543091,13,0.214013
2.170623,19,0.227671
45.737424,36,0.25394
34.570038,26,0.272531
6.592415,13,0.281507
5.167783,7,0.286437
13.91775,21,0.30286
-0.555493,27,0.321786
2.917499,10,0.328781
16.60619,22,0.345725
4.364703,8,0.35126
17.917294,21,0.365836
10.682243,15,0.37779
62.23058,40,0.40583
29.79307,24,0.423783
5.876271,10,0.431136
8.143811,11,0.43898
3.243748,7,0.443616
9.345669,14,0.453339
8.589055,25,0.472254
9.999449,14,0.482004
7.898504,17,0.493573
9.860953,13,0.503898
18.937552,19,0.517409
13.604299,18,0.529835
8.560518,12,0.538086
21.724012,21,0.554478
5.151499,9,0.560865
7.873284,13,0.569737
1.404228,26,0.589386
5.750523,10,0.59656
4.794782,28,0.61612
5.817847,9,0.622309
14.913285,22,0.639353
16.169291,33,0.662119
13.95549,14,0.673256
8.3856,16,0.684941
1.737242,18,0.697455
3.720473,19,0.712195
27.900442,26,0.730653
13.385519,22,0.745857
26.694144,26,0.765931
9.666286,11,0.773608
8.083533,14,0.783239
7.113145,9,0.789403
6.856135,17,0.803047
4.293164,14,0.812546
13.086895,28,0.831851
3.012361,28,0.853215
9.677811,15,0.863822
5.25066,8,0.869313
8.851058,33,0.893971
49.738853,34,0.918948
44.284808,42,0.948532
6.172439,18,0.962396
9.377362,11,0.970241
14.76355,16,0.981356
13.013588,14,0.990894
11.567268,12,0.999239
6.97056,11,1.008707
7.067539,9,1.014807
18.508797,40,1.043933
24.197033,30,1.0653
60.829511,43,1.09699
18.96246,19,1.110193
9.873816,21,1.125023
10.531013,17,1.138538
16.707367,28,1.157841
6.328913,17,1.171235
9.767934,15,1.18225
38.815001,28,1.201349
9.610682,14,1.212664
9.971758,19,1.226373
7.302068,12,1.234574
16.700972,22,1.249847
12.386839,28,1.270972
8.725301,12,1.279552
11.413554,25,1.296799
16.751946,21,1.312712
27.011509,29,1.333218
17.47441,30,1.354966
9.44978,21,1.369525
8.284631,10,1.377403
10.551772,18,1.390384
34.860913,40,1.419331
16.080124,17,1.43105
8.974901,17,1.442797
5.059729,9,1.448993
8.899819,12,1.45717
13.479475,16,1.469712
7.489611,11,1.477189
7.7236,11,1.484725
13.461576,14,1.494507
5.046785,9,1.69829
76.294854,44,1.729964
96.9866,55,1.769392
6.801598,10,1.776378
9.097654,13,1.785223
54.390695,36,1.813149
8.772419,12,1.821612
5.818711,13,1.832252
7.444219,11,1.843926
63.720128,36,1.879534
4.94825,8,1.885672
7.860723,10,1.892789
22.786161,23,1.909063
81.117645,58,1.951299
30.394568,27,1.971849
25.628055,45,2.004735
10.130472,23,2.021757
7.854344,10,2.029193
74.225007,46,2.071709
7.784763,18,2.089669
19.782246,19,2.104867
25.62465,32,2.127908
14.489889,15,2.139398
115.987972,56,2.181396
25.936828,25,2.199841
11.903157,12,2.209187
8.191551,18,2.222669
18.856329,23,2.239216
24.404716,25,2.257513
56.874943,33,2.280799
30.37512,29,2.301988
8.107285,20,2.315958
75.13051,40,2.34463
23.48093,27,2.363535
15.564481,19,2.377479
52.687173,30,2.39894
7.62639,11,2.406803
95.434669,51,2.443344
29.868659,29,2.464784
128.302987,70,2.514571
46.032393,32,2.537105
68.652461,37,2.563979
9.570431,15,2.574607
20.094233,20,2.589778
4.086989,10,2.597242
6.85527,12,2.605902
6.226111,23,2.62218
70.488171,41,2.652123
133.740021,63,2.697311
5.865999,10,2.704419
6.748055,10,2.712271
25.225674,22,2.728436
8.958256,13,2.737653
11.129073,13,2.746749
11.778916,13,2.756462
75.544881,39,2.784235
7.568197,10,2.791366
18.8616,32,2.814891
28.228821,29,2.83597
13.768246,17,2.848676
7.461646,12,2.857818
16.678413,17,2.869788
15.046026,15,2.880782
3.840441,9,2.88751
17.599805,27,2.906335
3.774342,8,2.911905
75.200499,41,2.941229
26.85926,24,2.957851
9.97981,12,2.967479
63.546232,48,3.000814
8.563179,13,3.010925
6.939729,13,3.019954
9.090137,19,3.033223
66.099607,36,3.059288
107.251676,61,3.10231
5.188343,13,3.114546
7.414465,10,3.124651
5.525741,25,3.14908
6.131405,9,3.155802
77.414041,41,3.18504
25.217409,43,3.216022
55.907555,30,3.440368
63.672499,42,3.470608
17.309424,20,3.48468
116.629378,78,3.539781
100.12484,61,3.583876
10.853849,19,3.598491
60.100171,34,3.622001
52.468879,29,3.64327
59.093455,31,3.664579
9.554186,20,3.679297
78.28923,48,3.712963
110.404454,68,3.761433
97.602254,66,3.807889
11.574553,14,3.817528
56.305129,31,3.839798
79.209594,41,3.868043
73.656208,38,3.895251
8.017073,20,3.908997
68.644479,36,3.934931
148.238864,72,3.985272
51.773015,51,4.0216
11.23061,12,4.029921
104.927621,58,4.071103
101.907495,50,4.106774
47.747318,38,4.134153
44.60754,36,4.158903
6.485165,14,4.168792
70.878267,38,4.195912
100.197205,63,4.240217
50.155635,27,4.259964
14.198257,13,4.26893
12.663453,14,4.2784
8.872808,10,4.28533
59.813189,33,4.309241
72.802185,42,4.33911
80.936027,41,4.367872
87.752645,53,4.405824
20.404399,22,4.42173
62.025098,34,4.445889
84.346233,43,4.476284
62.859524,36,4.501358
34.858286,35,4.526556
13.197669,17,4.538291
97.9698,48,4.572214
16.475572,17,4.583883
78.625535,58,4.624474
6.689612,11,4.633471
81.39997,54,4.671355
74.688366,39,4.698813
62.769028,35,4.723714
113.381359,85,4.783336
10.035461,13,4.792256
54.598911,31,4.81492
62.455965,36,4.840586
29.357634,24,4.857631
16.914674,16,4.868497
13.305134,13,5.075645
64.058299,35,5.100745
62.445054,33,5.123204
207.908906,144,5.225692
85.765352,51,5.261997
71.986413,40,5.289557
41.795881,23,5.30683
81.872325,44,5.337327
66.440092,36,5.362813
111.779691,74,5.415274
58.619501,32,5.438149
88.626335,57,5.478337
92.879868,63,5.522554
69.998015,38,5.549225
80.567071,48,5.582781
73.787413,44,5.614192
57.9784,31,5.636734
64.80166,42,5.665855
51.257336,56,5.705535
102.66222,54,5.743813
89.907842,61,5.787189
105.860589,50,5.822753
137.288659,66,5.868653
9.327398,10,5.875657
84.870501,45,5.907793
96.984851,49,5.942358
80.79018,49,5.977081
137.534202,80,6.033264
78.589983,48,6.067543
64.878264,33,6.091032
97.432665,49,6.125153
87.221949,45,6.156986
4.1084,35,6.18222
113.993762,69,6.230855
146.191928,77,6.284387
99.488894,52,6.3223
77.044081,50,6.357898
81.195592,47,6.391299
81.940105,54,6.429615
136.688124,66,6.475951
54.905701,31,6.497464
19.800645,16,6.509345
107.889239,66,6.753463
72.608926,43,6.784103
68.229475,37,6.810543
80.6145,43,6.84024
89.413388,56,6.880074
296.59923,124,6.967031
68.518652,37,6.992456
31.860839,31,7.014544
81.734039,44,7.045079
101.945773,59,7.086282
96.618107,53,7.123532
95.790097,47,7.156308
65.814327,35,7.18091
55.658482,32,7.203106
129.135307,65,7.248069
27.68661,26,7.266923
101.580922,53,7.304192
134.632607,67,7.350704
100.464057,60,7.392902
248.126891,141,7.490906
84.988111,44,7.5216
91.138885,49,7.555633
68.070373,38,7.582111
131.405521,66,7.628438
66.676523,44,7.659737
55.999043,29,7.680152
63.427374,35,7.7046
78.948364,45,7.736274
102.250064,54,7.773897
92.909293,62,7.817525
70.518894,37,7.843488
97.744438,58,7.884437
58.961632,31,7.906184
159.799935,87,7.966848
100.862824,52,8.003034
92.511213,48,8.03685
70.983748,48,8.070857
153.964996,72,8.120966
86.965743,54,8.362606
169.229831,85,8.422174
275.758897,147,8.527077
78.90802,50,8.562198
249.098702,129,8.653328
48.18891,30,8.674479
282.379457,137,8.770947
221.819656,103,8.843266
29.289687,26,8.861823
79.420286,45,8.894186
113.929681,66,8.941394
215.225745,120,9.026755
90.264608,50,9.061979
49.467858,36,9.08682
47.629677,33,9.110334
88.554469,46,9.143226
6.131344,10,9.150039
18.597131,18,9.162509
110.431263,55,9.201415
132.415172,70,9.250467
60.298621,33,9.274243
79.325085,48,9.308464
46.162034,32,9.330707
41.160978,35,9.356257
135.51268,72,9.407037
72.965686,44,9.438323
154.892681,84,9.49737
78.450808,43,9.527832
87.731907,57,9.567912
91.489359,66,9.614808
186.201227,91,9.679556
188.558799,92,9.744459
230.762759,128,10.040087
209.156156,113,10.119304
116.868734,60,10.161104
196.967347,108,10.23707
208.13674,135,10.331623
84.574312,46,10.36413
115.626517,65,10.409539
246.528665,132,10.50235
210.034731,108,10.578264
137.644414,77,10.631862
263.09428,142,10.732095
160.063674,91,10.794988
265.473305,140,10.893537
193.52404,101,10.96398
254.291164,120,11.047633
214.068421,111,11.124708
213.952032,113,11.203085
254.279455,135,11.297329
191.680773,106,11.372147
196.45818,103,11.444398
215.345167,111,11.725445
254.858785,138,11.82088
177.821313,118,11.903254
61.843544,38,11.929707
144.760462,84,11.988394
192.150185,98,12.057928
219.637524,129,12.147956
312.6371,150,12.252125
162.789226,99,12.321549
203.079351,98,12.38966
113.382117,66,12.435359
230.69621,138,12.531818
120.081098,60,12.57354
280.492836,141,12.671591
279.158956,151,12.777254
255.273624,139,12.874594
253.556771,123,12.961487
195.389178,106,13.036775
292.569076,149,13.339041
96.144902,56,13.378696
239.428443,114,13.458721
231.797634,122,13.544832
250.394588,148,13.649199
189.474163,103,13.720915
162.567252,88,13.782585
188.73458,122,13.86818
262.463126,132,13.960889
215.486981,99,14.031043
287.584972,130,14.122175
223.776376,135,14.216658
44.566081,32,14.239706
268.599887,134,14.333638
194.106666,104,14.406687
255.320284,137,14.503112
202.857356,113,14.582696
212.691094,125,14.67036
198.624771,116,14.955934
282.607798,130,15.047435
296.555444,134,15.141326
327.176203,160,15.254519
157.806695,94,15.320889
121.96179,66,15.367211
309.682004,150,15.472032
205.988849,121,15.557441
180.451339,103,15.630225
307.414001,140,15.729889
250.171568,133,15.823486
179.472637,109,15.899802
263.744718,137,15.997033
167.848835,97,16.065525
291.49138,126,16.153401
250.522729,155,16.262038
294.264337,123,16.34865
189.299982,98,16.701025
326.744777,151,16.808471
293.399452,132,16.90271
204.44677,136,16.997595
306.278736,143,17.098048
205.468195,112,17.176614
323.754667,145,17.277697
313.802431,158,17.387511
299.939862,151,17.493965
313.585905,163,17.609159
188.754628,116,17.690531
306.777705,144,17.790162
274.234368,131,17.882085
345.231327,184,18.011655
206.556535,109,18.29378
294.340034,128,18.382676
297.390857,129,18.472131
287.397656,140,18.570871
333.157828,163,18.684992
361.743833,192,18.818635
193.379914,107,18.892816
316.402195,145,18.994462
224.333223,119,19.076992
285.256619,132,19.169362
344.299907,175,19.292243
314.332101,166,19.408698
303.597943,140,19.506015
246.766607,124,19.592197
210.952434,115,19.673295
276.850975,117,19.963583
303.358185,144,20.066042
311.709912,137,20.162028
311.908187,142,20.260865
317.272571,161,20.374116
381.499254,193,20.509408
286.729045,129,20.599353
352.252005,157,20.709971
329.240993,150,20.814984
319.618571,164,20.929795
277.969082,128,21.019435
339.207604,159,21.131083
168.76219,84,21.190084
295.660576,124,21.2768
348.229455,167,21.59842
317.089951,171,21.718578
289.408425,125,21.805192
309.038613,138,21.901856
303.85699,126,21.990324
315.105626,127,22.078678
318.094293,140,22.1763
161.717579,89,22.239357
392.420533,207,22.38358
430.075178,232,22.545645
368.666103,189,22.67785
375.029635,187,22.807859
241.835871,134,22.901569
215.535693,110,22.979175
367.179649,183,23.305219
329.481431,154,23.414417
358.681994,171,23.534254
326.239764,148,23.637718
339.189087,139,23.735282
324.796179,146,23.837198
289.65925,120,23.920734
264.771427,130,24.01079
363.3018,170,24.129711
262.714896,120,24.213611
373.694407,192,24.347991
335.124862,145,24.449304
267.243533,122,24.533884
339.564001,165,24.847919
347.093852,157,24.958621
330.376588,146,25.060454
329.211469,145,25.163801
335.880948,164,25.278479
292.706936,124,25.365241
194.238181,102,25.436109
363.941579,165,25.551071
314.772016,151,25.657939
307.241803,138,25.754864
348.360905,160,25.866313
310.274665,134,25.959929
326.299444,129,26.051831
361.569484,152,26.158932
318.262777,135,26.25292
271.688847,124,26.542238
302.726791,122,26.628158
313.653045,145,26.729986
302.791406,131,26.822805
327.613528,135,26.916963
306.386507,146,27.018815
327.338608,148,27.124038
313.619497,145,27.225522
304.516635,138,27.322409
337.519673,139,27.418704
320.386426,139,27.515301
278.495959,129,27.605727
307.831949,134,27.700294
315.673129,137,27.795884
339.056698,158,28.113125
311.156565,134,28.20656
291.707015,131,28.298301
230.142598,109,28.374909
329.071028,156,28.483089
325.129288,135,28.578631
334.846767,155,28.686774
318.313934,129,28.77608
317.71651,138,28.873055
323.670775,145,28.974727
360.416814,179,29.099511
236.502814,112,29.177522
322.064273,150,29.281952
342.001432,146,29.38401
322.198142,126,29.471451
356.930594,168,29.792826
337.367533,146,29.894472
188.95341,103,29.967096
212.782822,101,30.038047
344.562146,145,30.139074
375.052027,183,30.267079
339.697108,140,30.364774
312.571938,135,30.459094
281.68617,122,30.543961
306.953951,132,30.635345
325.986412,142,30.734112
339.449811,149,30.838696
360.521986,163,30.95394
309.5365,134,31.047253
346.890638,148,31.150937
264.583035,112,31.434328
298.95185,147,31.537642
321.561476,135,31.631616
327.405286,140,31.728703
294.342927,121,31.813156
367.90549,152,31.919251
343.391341,139,32.01747
388.656285,173,32.137897
313.964544,142,32.236516
315.041207,125,32.323491
341.803368,149,32.427166
351.290629,152,32.533574
230.974164,109,32.609737
299.092285,125,32.697261
350.223792,140,32.795654
351.307999,145,33.180158
362.956176,138,33.276156
335.874333,142,33.375189
354.207352,153,33.481773
359.500716,145,33.582955
346.606769,151,33.687596
346.599368,137,33.783337
360.975093,144,33.883935
389.532779,149,33.987683
240.400197,114,34.066978
370.071677,147,34.17022
358.468924,144,34.270092
357.408412,152,34.378021
367.954899,148,34.481397
357.211904,139,34.777832
246.451688,111,34.85613
259.608139,114,34.936467
398.987269,159,35.048738
374.615599,152,35.155038
368.912177,150,35.259337
382.535998,147,35.361353
357.752669,148,35.465024
355.224665,139,35.561916
324.910172,130,35.652429
369.756305,140,35.750301
197.436745,96,35.817801
346.864168,135,35.912426
349.018977,140,36.009635
358.634274,149,36.112841
379.582108,143,36.422879
369.100766,139,36.51965
327.894714,130,36.610073
271.423494,120,36.693825
264.650378,119,36.777321
381.68633,157,36.886775
354.662475,139,36.98374
362.135297,144,37.084857
347.82027,144,37.185116
314.7077,142,37.283993
341.777429,139,37.382044
332.16912,131,37.473537
232.143913,102,37.545053
373.340714,156,37.654074
346.586563,132,37.746446
319.39904,138,38.047861
364.811916,136,38.143908
303.336638,133,38.236808
356.388141,145,38.338923
254.24289,115,38.41982
368.042538,142,38.518945
361.137494,142,38.617882
359.309624,141,38.718151
371.646475,146,38.820169
310.458648,124,38.906991
257.539695,117,38.989305
340.731015,131,39.080726
335.24968,140,39.179348
240.399864,102,39.250595
393.859066,164,39.364685
347.923786,139,39.66427
388.623237,146,39.768103
361.932787,146,39.872161
372.379701,142,39.972848
390.090532,154,40.080293
378.203858,140,40.179633
324.942966,146,40.282647
362.635766,140,40.381743
354.512994,141,40.480719
379.912271,158,40.592965
364.097698,137,40.689058
342.611169,136,40.784136
343.800668,137,40.880863
344.720547,137,40.977359
365.714078,149,41.283712
355.67327,140,41.382053
355.254723,143,41.481313
345.177617,145,41.581517
363.646775,145,41.683206
367.112474,144,41.783269
345.753686,141,41.881716
399.504028,146,41.983746
346.167271,138,42.079714
357.961253,144,42.181286
342.459983,131,42.272605
346.997739,141,42.371114
365.010281,141,42.470006
363.517159,143,42.569582
326.51328,136,42.664296
383.147097,141,42.965126
387.621583,144,43.066715
350.915926,147,43.1719
377.867776,139,43.270508
307.129643,126,43.36034
375.240472,149,43.467283
394.709188,143,43.568281
244.50137,109,43.645757
417.538648,166,43.763912
353.13964,141,43.864192
354.611278,137,43.961858
362.122138,136,44.057778
236.986618,105,44.132236
382.419001,149,44.237392
380.25676,144,44.339066
389.018584,147,44.650868
365.099203,130,44.742114
390.367845,148,44.845819
410.376072,154,44.954006
376.783346,141,45.053014
409.000272,148,45.155937
211.478757,95,45.224364
249.956943,107,45.299282
387.982528,154,45.406102
394.815458,147,45.509699
392.809553,145,45.610631
390.290656,149,45.714593
387.192421,148,45.817621
385.799486,143,45.916471
407.505041,163,46.234946
606.082446,269,46.422204
410.951182,162,46.534791
389.632385,144,46.635395
398.959374,150,46.739636
405.562756,146,46.842041
319.507439,122,46.92781
472.488006,191,47.060092
465.064268,190,47.191899
371.09106,140,47.289297
410.825273,151,47.394144
417.081917,154,47.499987
410.207393,173,47.620694
408.922115,146,47.923976
407.356281,146,48.025372
426.307668,152,48.130562
411.33215,152,48.236465
439.788207,167,48.352471
415.044647,147,48.454847
410.39227,145,48.555811
364.314502,140,48.653434
479.720047,185,48.781829
386.108684,143,48.881396
220.871265,105,48.955244
409.370189,147,49.058659
409.942221,151,49.163595
376.961255,136,49.634014
356.518767,136,49.729182
374.032128,145,49.830485
319.886094,120,49.914862
361.570467,142,50.015387
454.562194,178,50.139322
380.007877,143,50.23915
348.57626,153,50.346993
370.249267,141,50.445697
389.901786,142,50.544833
336.047578,123,50.630556
319.593417,122,50.715735
358.922895,130,50.807547
327.880702,127,50.895725
368.217507,141,51.193598
381.848822,140,51.290844
396.961417,146,51.392535
380.767666,141,51.490497
367.595466,149,51.595259
380.339635,151,51.700253
392.474983,147,51.802733
362.207092,142,51.901639
373.345398,142,52.001251
376.303943,142,52.10126
354.890058,139,52.19895
410.66863,154,52.305845
405.540698,158,52.416807
329.529704,126,52.504935
333.211409,124,52.591578
358.202548,129,52.879978
401.32354,148,52.983987
392.848657,145,53.084587
385.083754,145,53.18561
325.006515,124,53.271333
410.504441,155,53.378839
376.895078,134,53.472149
235.287718,103,53.544166
392.069017,141,53.642632
358.733913,146,53.744277
367.429641,137,53.838902
380.830978,135,53.93297
384.238881,158,54.043406
