#{"t_start": 1656948295.0103543, "env_id": "CustomHopper-source-v0"}
r,l,t
36.035159,41,5.628301
101.771205,56,5.667768
87.927492,61,5.710824
115.990164,56,5.750318
38.49141,30,5.77167
74.958494,39,5.798335
80.504388,44,5.829542
92.127642,49,5.864017
83.981059,49,5.898437
150.780128,92,5.962783
63.87844,36,5.988991
62.066578,33,6.011837
92.352212,49,6.046855
84.144015,45,6.078245
4.252192,33,6.101326
113.470189,70,6.151423
147.206494,80,6.207042
81.36934,51,6.243526
91.772972,59,6.285385
88.451486,63,6.33028
92.64887,55,6.369195
6.466728,10,6.375986
77.378893,43,6.406624
116.811154,58,6.655763
93.89064,48,6.689829
69.821734,40,6.717926
64.402263,36,6.743681
81.250417,45,6.775478
78.538142,51,6.811429
156.412241,75,6.8645
111.935232,64,6.90997
228.906195,120,6.99443
129.141462,72,7.044594
118.494517,59,7.085849
63.638216,35,7.111119
68.333995,38,7.137518
144.97763,72,7.188227
122.46427,61,7.23076
141.245456,66,7.277194
87.25266,56,7.316301
100.667502,53,7.353991
25.605179,25,7.371674
74.408937,47,7.404807
144.406803,74,7.457017
60.159021,35,7.481565
90.650366,50,7.516395
119.536802,61,7.559398
237.922224,127,7.649164
131.065936,62,7.693392
88.583671,54,7.731263
89.352231,55,7.770318
45.15635,25,7.787827
107.897036,62,7.83201
187.787025,87,7.892179
75.516837,41,7.921365
11.568484,13,7.930358
96.299867,52,7.967284
96.84785,54,8.005594
155.096509,75,8.057998
74.667331,45,8.090093
222.323841,99,8.360047
136.571877,72,8.410681
232.768385,110,8.488896
134.1801,70,8.537487
127.086358,67,8.583663
52.766202,33,8.607231
149.767954,76,8.660668
162.44777,80,8.716397
87.77745,47,8.749085
82.149029,44,8.780197
112.828113,56,8.8195
86.519663,51,8.855459
116.995315,61,8.897922
254.475244,127,8.987516
82.085334,46,9.019156
167.316493,77,9.072987
20.12166,19,9.086003
107.362676,57,9.12616
121.397751,61,9.169079
54.925465,31,9.191264
220.04238,96,9.258968
44.204428,34,9.283626
137.052078,68,9.332021
50.721626,30,9.35278
129.25795,70,9.402857
97.331623,52,9.439166
110.465815,58,9.479761
144.694983,79,9.535375
85.746215,46,9.567903
106.317025,57,9.607238
231.657294,98,9.675437
153.280212,75,9.728261
229.959762,106,10.047684
77.42833,70,10.096823
90.034892,50,10.131964
213.265128,96,10.19972
229.577108,120,10.284086
80.549585,46,10.316644
208.039353,91,10.381041
214.54419,103,10.454123
141.308786,70,10.503356
275.534571,138,10.599645
152.739364,78,10.65492
230.876247,100,10.72462
134.871253,79,10.781121
221.336678,99,10.850283
66.226014,38,10.877287
92.429063,52,10.913626
134.314162,68,10.960717
94.697668,53,10.997515
150.071543,79,11.052662
109.318095,60,11.094439
149.599646,72,11.144292
170.3834,83,11.202755
116.56942,63,11.246814
79.906996,44,11.277746
250.56451,113,11.357551
229.703749,102,11.629623
108.143966,57,11.669659
123.586351,65,11.715287
245.475472,101,11.786653
64.62465,38,11.812877
200.447517,105,11.887138
225.630926,112,11.96573
194.490937,92,12.030989
213.402937,100,12.100295
214.761368,102,12.172678
167.331264,81,12.22941
226.751575,104,12.303793
198.297866,96,12.371196
226.98636,107,12.447163
227.733705,103,12.51793
78.377273,45,12.549749
186.840734,84,12.6096
207.947444,103,12.681483
168.582112,82,12.739712
196.336412,88,12.80111
228.759969,105,12.875318
225.112463,102,12.947827
202.010926,90,13.010308
240.73153,108,13.29107
228.752589,106,13.365334
200.952305,89,13.427403
213.313734,102,13.499848
207.900699,92,13.564908
189.880153,87,13.626653
213.129595,91,13.690176
201.255155,91,13.754682
220.828624,98,13.82332
239.076979,110,13.900482
222.9825,99,13.96968
198.73706,87,14.031948
204.790209,102,14.103034
220.388636,108,14.178994
78.307891,51,14.21501
211.620007,92,14.279852
180.782836,86,14.3399
266.652195,114,14.419087
186.919329,87,14.479564
195.058504,84,14.538903
218.803471,100,14.608576
241.859626,104,14.68167
203.472093,87,15.017725
238.613656,102,15.089909
211.588402,91,15.154776
120.482215,69,15.203328
203.811288,94,15.26928
221.845394,101,15.340513
51.313568,33,15.364173
198.985547,89,15.426524
204.553263,95,15.493781
116.586175,60,15.536723
227.027217,105,15.611051
103.107603,54,15.648583
231.983828,98,15.71863
212.906001,94,15.785409
230.591189,107,15.861018
232.486935,104,15.934094
216.014193,95,16.001656
242.507413,104,16.074988
197.243313,87,16.135355
133.825933,68,16.183279
230.554847,104,16.25686
53.845286,36,16.282196
209.877255,91,16.346099
238.173853,106,16.633344
213.920342,95,16.700936
242.018569,107,16.776426
203.16399,93,16.842043
236.536423,105,16.916689
232.554826,102,16.988533
236.337641,109,17.065394
254.504546,103,17.137955
214.794407,94,17.204729
238.864508,104,17.277675
235.9637,108,17.353934
152.212663,73,17.405713
205.519165,91,17.469947
205.592349,93,17.536064
198.137007,83,17.594665
208.585982,97,17.663124
161.901771,77,17.717762
217.442818,96,17.785258
216.306905,94,17.851678
244.831425,112,17.930767
102.35013,53,17.968053
218.792489,97,18.037416
217.273019,96,18.309793
208.653467,94,18.375947
200.135216,84,18.434567
218.473151,95,18.501324
209.705188,87,18.562203
276.299247,119,18.645146
266.60774,110,18.721897
220.946768,101,18.792545
236.710092,100,18.862248
230.46668,104,18.935157
209.518948,90,18.999152
209.005971,90,19.068324
277.156981,116,19.14936
242.053446,102,19.221213
252.912896,101,19.292608
237.136449,110,19.369637
211.011679,89,19.431597
254.508456,112,19.5102
205.579706,98,19.583437
244.966691,109,19.66253
278.453035,123,20.089064
237.071262,110,20.167749
258.201858,112,20.249058
279.078817,120,20.343241
334.329278,147,20.452673
312.727387,131,20.545345
197.492383,95,20.614264
264.60718,115,20.69745
248.483007,103,20.772373
211.395651,104,20.84719
260.065884,124,20.944387
258.992533,132,21.080869
126.865218,62,21.143757
235.352055,107,21.253224
247.975164,104,21.356092
299.377864,124,21.482461
287.873586,115,21.598674
