#{"t_start": 1656952366.8527937, "env_id": "CustomHopper-target-v0"}
r,l,t
297.872339,133,16.521685
388.099247,147,32.970869
698.134109,212,49.374774
337.559121,140,65.764789
695.240901,222,82.045965
879.671868,275,98.360596
1062.187008,500,114.823266
1336.697,500,131.219039
1594.885859,500,147.626157
1482.91206,500,164.043013
1454.408034,500,180.521779
1385.456011,500,197.024472
1484.212011,433,213.450539
1555.533942,500,229.851953
1436.901311,412,246.270725
920.521302,262,262.570517
1383.343773,498,279.032196
1621.082058,500,295.463134
1372.71526,500,312.025076
1591.754524,500,328.442678
1463.351232,500,344.898079
1390.091228,385,361.370122
933.836776,271,377.692625
935.464502,290,394.056635
966.744698,284,410.428098
1445.442461,427,426.967189
1503.926819,500,443.413479
1292.040976,360,459.77685
1479.387031,500,476.218975
1447.598047,500,492.674957
979.001281,288,508.970395
1585.684175,500,525.385219
965.139853,278,541.652779
1484.109191,500,558.293698
1273.420518,500,574.879905
1460.629042,500,591.388813
1513.184723,500,607.839966
1412.014944,406,624.137947
1549.630023,500,640.463216
1578.985864,500,656.863904
1604.802386,500,673.278399
1122.392613,328,689.561271
987.021737,280,705.909071
859.659159,249,722.226157
1633.946259,500,738.653536
1437.106983,500,755.105873
1474.249502,500,771.567865
1097.009436,315,787.916906
1590.937367,500,804.3164
1463.065606,500,820.754599
