#{"t_start": 1656951953.065759, "env_id": "CustomHopper-source-v0"}
r,l,t
20.328866,31,0.038471
5.88266,12,0.047033
14.509843,19,0.061183
19.495251,19,0.074244
12.084913,17,0.086048
26.149255,21,0.101381
1.178534,23,0.117218
5.186188,9,0.123376
11.169609,13,0.132531
10.158914,11,0.140851
7.263808,17,0.152522
33.242541,25,0.169833
5.019993,8,0.175274
7.579284,17,0.187613
8.383802,14,0.197184
5.543091,13,0.206131
2.170623,19,0.219887
45.737424,36,0.245173
34.570038,26,0.263632
6.592415,13,0.273021
5.167783,7,0.277676
13.91775,21,0.292363
-0.555493,27,0.311545
2.917499,10,0.318555
16.60619,22,0.333496
4.364703,8,0.33879
17.917294,21,0.354154
10.682243,15,0.364575
62.23058,40,0.392564
29.79307,24,0.408933
5.876271,10,0.415739
8.143811,11,0.423263
3.243748,7,0.428575
9.345669,14,0.438528
8.589055,25,0.455534
9.999449,14,0.465035
7.898504,17,0.477491
9.860953,13,0.486378
18.937552,19,0.499363
13.604299,18,0.512424
8.560518,12,0.521589
21.724012,21,0.536855
5.151499,9,0.543468
7.873284,13,0.553349
1.404228,26,0.5725
5.750523,10,0.579516
4.794782,28,0.600515
5.817847,9,0.606837
14.913285,22,0.622861
16.169291,33,0.646655
13.95549,14,0.656213
8.3856,16,0.667256
1.737242,18,0.679991
3.720473,19,0.693218
27.900442,26,0.711046
13.385519,22,0.726889
26.694144,26,0.745058
9.666286,11,0.752664
8.083533,14,0.762645
7.113145,9,0.769041
6.856135,17,0.78079
4.293164,14,0.790327
13.086895,28,0.810331
3.012361,28,0.829819
9.677811,15,0.840046
5.25066,8,0.845857
8.851058,33,0.869029
49.738853,34,0.892892
44.284808,42,0.921851
6.172439,18,0.934998
9.377362,11,0.942528
14.76355,16,0.953534
13.013588,14,0.963112
11.567268,12,0.97165
6.97056,11,0.979394
7.067539,9,0.985449
18.508797,40,1.013604
24.197033,30,1.034649
60.829511,43,1.065512
18.96246,19,1.078694
9.873816,21,1.093312
10.531013,17,1.105653
16.707367,28,1.124802
6.328913,17,1.136691
9.767934,15,1.148162
38.815001,28,1.167448
9.610682,14,1.177088
9.971758,19,1.191238
7.302068,12,1.199589
16.700972,22,1.214803
12.386839,28,1.235526
8.725301,12,1.244072
11.413554,25,1.26202
16.751946,21,1.276982
27.011509,29,1.297158
17.47441,30,1.320124
9.44978,21,1.335366
8.284631,10,1.342412
10.551772,18,1.356188
34.860913,40,1.385156
16.080124,17,1.397995
8.974901,17,1.409756
5.059729,9,1.415868
8.899819,12,1.424396
13.479475,16,1.436267
7.489611,11,1.443891
7.7236,11,1.451245
13.461576,14,1.460971
5.046785,9,1.664536
76.294854,44,1.699322
96.9866,55,1.738472
6.801598,10,1.74538
9.097654,13,1.754309
54.390695,36,1.780411
8.772419,12,1.788731
5.818711,13,1.797815
7.444219,11,1.807508
63.720128,36,1.83253
4.94825,8,1.838133
7.860723,10,1.845825
22.786161,23,1.862161
81.117645,58,1.906351
30.394568,27,1.928602
25.628055,45,1.969829
