#{"t_start": 1656948295.010483, "env_id": "CustomHopper-target-v0"}
r,l,t
64.180695,39,4.995253
90.241331,52,9.962856
254.26743,109,14.951878
321.568233,137,19.990035
332.051751,146,25.298615
330.45096,144,30.420356
745.805721,253,35.598159
270.502399,127,40.62639
1132.877112,500,45.795313
1182.666122,500,50.964464
309.359941,154,55.955435
242.786829,136,60.942754
292.977282,150,65.942884
1172.540113,500,71.070543
1076.01792,359,76.137106
1208.829357,397,81.236332
1257.457838,500,86.374047
1365.157351,500,91.49159
1209.916103,500,96.619143
1440.454925,500,101.7633
1405.822868,500,106.933351
1364.852964,500,112.067124
1554.747498,500,117.190575
1407.222041,500,122.343648
1009.523137,337,127.408501
1308.600032,405,132.498717
1365.718123,420,137.606899
873.673304,298,142.718524
1495.546405,449,147.841182
1603.70737,500,153.031137
1539.097594,500,158.224533
1528.746259,500,163.41823
1506.456649,500,168.589878
1518.560771,500,173.79265
1518.818166,500,178.975032
1334.503718,500,184.127126
1317.505249,500,189.278771
1363.79112,500,194.447984
1433.425896,500,199.590236
1516.130809,500,204.712557
1546.987523,500,209.87082
1573.574747,500,215.033902
1568.378215,500,220.174508
910.623435,282,225.254096
912.778804,278,230.305164
1596.039358,500,235.452604
1558.557563,500,240.640067
1558.000209,500,245.805847
1546.390375,500,250.954182
1598.184016,500,256.124769
