#{"t_start": 1656950204.8144522, "env_id": "CustomHopper-target-v0"}
r,l,t
309.755424,139,16.534574
413.406099,156,32.948812
438.957462,158,49.439561
493.292079,169,65.919664
686.248815,214,82.179476
672.596661,214,98.518801
1165.996213,500,114.986422
1320.237743,500,131.468363
1227.18442,360,147.856396
1411.086781,500,164.39725
1448.532392,500,180.892589
693.781997,268,197.2828
1291.396261,380,213.766092
1104.77272,333,230.151703
1291.630583,377,246.600968
835.212369,245,263.015153
1110.772419,348,279.4287
1416.679679,437,295.896957
552.412369,220,312.306592
1411.945038,432,328.791867
1551.741216,500,345.391298
904.014595,268,361.852231
900.470146,277,378.27333
1595.90678,474,394.771472
1194.368629,352,411.226922
1586.846627,500,427.704805
939.175522,331,444.15132
1523.090812,500,460.670209
1474.414014,500,477.219595
1503.110848,500,493.726131
1606.890911,500,510.271429
1570.166649,500,526.7822
1605.008576,500,543.804338
1470.897279,500,560.27809
1519.550847,500,576.7796
1557.603964,500,593.31183
1583.772052,500,609.883909
1528.874039,500,626.326384
509.684397,206,642.708974
1088.773321,335,659.096874
1524.398623,457,675.557935
1595.46927,500,692.013381
1056.761398,324,708.509611
939.662103,297,724.904697
1345.258828,413,741.328767
892.592889,317,757.711621
639.218948,239,774.129821
1574.607669,500,791.170342
1583.427045,500,807.787577
1044.114022,315,824.212745
