#{"t_start": 1657462541.0742166, "env_id": "CustomHopper-target-v0"}
r,l,t
123.549637,66,9.296877
355.526351,171,17.410627
341.070423,159,25.60161
619.585531,239,34.165056
534.574754,225,42.364254
973.640669,319,50.890481
1464.712647,500,59.565098
836.224845,403,68.217415
470.281829,228,76.716352
1221.726293,500,85.33112
1207.290381,372,93.986505
712.515826,230,102.506387
906.267193,268,110.913324
786.285752,246,119.353206
1174.476186,359,127.877154
862.201171,261,136.468174
847.453603,258,145.065643
821.303379,254,153.57634
878.905108,262,162.228871
907.52411,269,170.74129
939.842954,276,179.149272
942.263338,275,187.596642
820.922942,248,196.157079
771.638194,237,204.630092
544.736014,176,213.120793
565.764185,182,221.571622
624.753702,199,229.985437
690.47147,217,238.466037
857.619123,253,246.936049
813.190839,240,255.482798
724.452179,220,263.895102
853.34855,248,272.419631
897.334292,274,280.843559
900.09219,267,289.319685
1185.281674,356,297.821935
1146.773649,334,306.250514
927.263632,279,314.679122
613.53256,195,323.076395
1110.340669,337,331.536645
1445.808948,444,340.031522
1043.578222,318,348.489627
871.333224,267,357.175361
586.70045,186,365.867374
1060.832456,320,374.555885
803.835691,244,383.092238
861.941956,263,391.624875
1181.610175,351,400.232649
966.335543,294,408.838232
748.142637,227,417.459798
662.605958,210,425.915117
