#{"t_start": 1656951282.7035306, "env_id": "CustomHopper-source-v0"}
r,l,t
20.328866,31,0.041059
5.88266,12,0.04952
14.509843,19,0.062757
19.495251,19,0.075929
12.084913,17,0.08871
26.149255,21,0.103494
1.178534,23,0.120084
5.186188,9,0.126675
11.169609,13,0.135714
10.158914,11,0.143208
7.263808,17,0.1551
33.242541,25,0.17327
5.019993,8,0.178963
7.579284,17,0.190795
8.383802,14,0.200496
5.543091,13,0.210393
2.170623,19,0.223702
45.737424,36,0.249412
34.570038,26,0.267446
6.592415,13,0.276641
5.167783,7,0.281423
13.91775,21,0.297056
-0.555493,27,0.315899
2.917499,10,0.323004
16.60619,22,0.339407
4.364703,8,0.344861
17.917294,21,0.359947
10.682243,15,0.370583
62.23058,40,0.398625
29.79307,24,0.416088
5.876271,10,0.423112
8.143811,11,0.430723
3.243748,7,0.435624
9.345669,14,0.445248
8.589055,25,0.463639
9.999449,14,0.473305
7.898504,17,0.485132
9.860953,13,0.494637
18.937552,19,0.508243
13.604299,18,0.520838
8.560518,12,0.529469
21.724012,21,0.544899
5.151499,9,0.551306
7.873284,13,0.560466
1.404228,26,0.579024
5.750523,10,0.586273
4.794782,28,0.605918
5.817847,9,0.612152
14.913285,22,0.628202
16.169291,33,0.651231
13.95549,14,0.661071
8.3856,16,0.672803
1.737242,18,0.685055
3.720473,19,0.698204
27.900442,26,0.717344
13.385519,22,0.732754
26.694144,26,0.752048
9.666286,11,0.759763
8.083533,14,0.769697
7.113145,9,0.776193
6.856135,17,0.788685
4.293164,14,0.798807
13.086895,28,0.818488
3.012361,28,0.838768
9.677811,15,0.849267
5.25066,8,0.854842
8.851058,33,0.878466
49.738853,34,0.902407
44.284808,42,0.932898
6.172439,18,0.945305
9.377362,11,0.953158
14.76355,16,0.964671
13.013588,14,0.974203
11.567268,12,0.982366
6.97056,11,0.989991
7.067539,9,0.99672
18.508797,40,1.02458
24.197033,30,1.046048
60.829511,43,1.075871
18.96246,19,1.089778
9.873816,21,1.104311
10.531013,17,1.116109
16.707367,28,1.136099
6.328913,17,1.147861
9.767934,15,1.158422
38.815001,28,1.178572
9.610682,14,1.1881
9.971758,19,1.201137
7.302068,12,1.21019
16.700972,22,1.225108
12.386839,28,1.244348
8.725301,12,1.253138
11.413554,25,1.270357
16.751946,21,1.284875
27.011509,29,1.305713
17.47441,30,1.326352
9.44978,21,1.341367
8.284631,10,1.34816
10.551772,18,1.360581
34.860913,40,1.388937
16.080124,17,1.400755
8.974901,17,1.412766
5.059729,9,1.419142
8.899819,12,1.427176
13.479475,16,1.438241
