#{"t_start": 1656951029.0755196, "env_id": "CustomHopper-target-v0"}
r,l,t
57.563273,35,5.010609
197.477145,99,9.989438
213.595077,105,14.955542
295.269179,125,19.95845
313.490947,138,24.900191
357.534254,149,29.892371
977.564171,324,34.952389
753.227194,323,40.005189
1456.605765,500,45.11792
727.717423,325,50.1847
945.235242,315,55.24512
1106.84924,356,60.325168
1059.713785,335,65.403877
1115.913985,348,70.455983
1078.568614,335,75.492489
1472.163577,500,80.607508
1139.584757,371,85.679373
1119.303335,386,90.763941
1067.655029,331,95.833763
1125.146792,355,100.852992
1482.145046,489,105.950513
1254.031917,500,111.049943
1338.150266,439,116.138783
1164.012548,500,121.259114
1202.57574,500,126.358468
1078.45221,363,131.383133
1447.583508,500,136.478986
1132.909669,500,141.604797
1254.360406,403,146.667504
1223.046666,500,151.791778
1281.214557,417,156.893856
1182.964663,500,162.002298
1181.565591,500,167.142482
1196.664283,500,172.276564
1162.199075,500,177.395326
1199.728261,500,182.519014
1202.923084,500,187.645926
1332.776614,500,192.744853
1320.555318,500,197.852585
1243.124515,500,202.950583
1294.895251,500,208.085405
1304.086026,413,213.176642
1606.761352,485,218.275787
1050.107339,322,223.300194
1051.276162,329,228.32432
1063.05442,329,233.38763
1447.536652,432,238.475939
1183.245021,345,243.536483
1113.897792,350,248.563973
1183.394033,358,253.583202
