#{"t_start": 1656951282.703666, "env_id": "CustomHopper-target-v0"}
r,l,t
60.042202,37,4.987541
88.592998,51,9.900765
251.735495,108,14.844614
321.895706,137,19.8122
336.163031,148,24.80174
328.963239,143,29.797574
737.078653,250,34.8459
271.308879,127,39.839746
1117.765947,500,44.966921
1178.381291,500,50.105556
306.911455,153,55.084881
248.425773,139,60.050963
1207.331012,500,65.194215
1218.685024,500,70.344211
1172.951685,383,75.427659
1486.839693,479,80.510236
1262.125915,500,85.612426
1376.731299,500,90.700134
1209.746728,500,95.80535
1448.648475,500,100.91402
1409.463627,500,106.030634
1349.420076,500,111.150819
1542.582793,489,116.25262
1468.460469,476,121.363468
989.450007,334,126.427778
1141.111556,357,131.506828
1062.672662,312,136.553474
1356.232721,473,141.714882
1491.393699,500,146.829045
1355.069987,431,151.947798
1450.86604,430,157.055316
1528.342805,500,162.192459
1504.090113,500,167.377015
1522.931205,500,172.532594
1485.712612,500,177.655694
1314.365888,500,182.764859
1324.079703,500,187.887537
1368.025691,500,193.021447
1438.91126,500,198.148613
1525.875634,500,203.265383
1543.890812,500,208.403005
1541.778955,500,213.528787
1573.212958,500,218.647961
905.355258,280,223.706007
910.529832,278,228.726238
1594.774665,500,233.854621
1557.71771,500,238.983011
1569.16625,500,244.10428
1552.318032,500,249.225766
1602.627695,500,254.362203
