#{"t_start": 1656948037.7761626, "env_id": "CustomHopper-target-v0"}
r,l,t
59.146259,36,6.741099
199.618062,100,12.138458
214.0464,105,17.190468
294.4364,124,22.216803
315.097212,139,27.219629
357.828326,148,32.354415
985.427402,327,37.485976
714.48617,327,42.601189
1083.255261,417,47.722914
718.449401,328,52.826149
943.451841,308,57.928663
1109.004397,358,63.040332
1045.741347,347,68.143933
1114.10188,346,73.248256
1063.71037,343,78.355103
1325.242029,500,83.502481
1092.315047,354,88.602162
1051.073394,360,93.680761
1044.777431,333,98.74241
1131.886098,357,103.808268
1503.595222,487,108.940622
1248.695644,500,114.070536
1349.74754,442,119.177783
1157.163064,500,124.350927
1143.736858,500,129.49135
1183.963817,391,134.557907
1274.825126,500,139.685049
1131.372808,500,144.859842
1233.73847,397,149.980898
1226.939133,500,155.131984
1287.795942,415,160.208096
719.43694,321,165.257615
1185.030357,500,170.397026
1199.847744,500,175.525839
1159.51869,500,180.662873
1189.676401,500,185.795415
1193.45983,500,190.937009
1203.396849,500,196.070262
1323.123887,500,201.181297
1334.59485,500,206.276572
1351.81349,500,211.436752
1421.809728,500,216.592745
1308.326837,414,221.684651
1044.98544,328,226.740595
1050.357963,328,231.796944
1110.599429,344,236.855742
1457.204298,432,241.96063
1160.416417,342,247.036798
1136.207146,356,252.083856
1415.508973,412,257.181919
