#{"t_start": 1656953187.6511688, "env_id": "CustomHopper-target-v0"}
r,l,t
311.300613,140,16.627871
411.556729,155,33.073914
442.833006,159,49.526341
486.082208,167,65.95279
685.733356,214,82.323684
671.265169,213,98.671174
1160.286837,500,115.231615
1332.098689,500,131.731394
1224.144365,359,148.197654
1448.245378,500,164.78938
1447.658071,500,181.382747
684.169953,260,197.736839
886.638127,269,214.145323
1103.291494,333,230.565107
1346.384277,390,246.991238
840.614548,247,263.39235
1532.458309,500,279.923911
1389.074056,426,296.34538
554.451532,220,312.705292
1422.61234,436,329.237588
1569.837716,500,345.791894
896.333377,265,362.290061
902.583611,278,378.888338
1477.951613,442,395.370465
1190.324749,351,411.8257
1586.486292,500,428.329311
1444.031927,500,444.860734
1545.096861,500,461.392101
1477.188975,500,477.919468
1531.755012,500,494.383711
1607.790843,500,510.874001
1577.169031,500,527.758814
1609.802357,500,544.587363
1515.601572,500,560.717742
1520.495161,500,576.936232
1576.525605,500,593.150161
1588.697975,500,609.315339
1525.684974,500,625.450966
1529.5429,500,641.625891
1087.066391,334,657.776396
1569.921317,477,673.975296
1588.302283,500,690.123493
1049.733385,321,706.250028
936.118984,296,722.328312
1339.285035,411,738.446494
890.940242,316,754.575919
639.182287,239,770.668087
1579.868733,500,786.857138
1582.426914,500,803.033869
1527.574525,500,819.206986
