#{"t_start": 1656949382.993895, "env_id": "CustomHopper-target-v0"}
r,l,t
296.097671,132,17.503531
389.150765,148,33.793821
733.259622,223,50.487602
338.991776,140,66.898928
696.404565,223,83.082032
876.916714,274,99.476029
806.359533,386,115.849602
1323.667091,500,132.253672
1501.999355,500,148.622134
1478.343029,500,165.121456
1455.227004,500,181.555912
1382.7442,500,198.02031
1593.148601,500,214.468163
1550.287291,500,230.968311
1290.116315,362,247.313828
914.985992,261,263.626884
1386.023371,500,280.091853
1627.582171,500,296.613949
1381.387199,500,313.175449
1550.50992,500,329.644173
1470.807632,500,346.134661
1304.894522,371,362.520504
937.02062,272,378.860749
835.487011,263,395.252402
976.193423,289,411.617892
1439.524363,436,428.045128
1493.271603,500,444.53569
1244.402456,351,460.90374
1472.89221,500,477.357579
1455.016091,500,493.767063
1025.302441,292,510.102808
1558.185081,500,526.499377
964.160652,278,542.774845
1486.928182,500,559.244408
1272.879618,500,575.777373
1510.8004,500,592.307108
1510.865575,500,608.74774
1224.906111,360,625.047377
1554.145155,500,641.419003
1580.009435,500,657.889526
1608.382627,500,674.358695
1122.36211,325,690.598051
983.44469,279,706.89053
856.807296,248,723.182227
1636.601553,500,739.647655
1437.755884,500,756.117344
1471.869636,500,772.561059
1117.647853,317,788.93462
1587.725765,500,805.332024
1463.170035,500,821.777414
